老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
避尘珠 ,"['孙丽', '孙丽', '韩青芸', '李雨壕', '梁家仁', '黄科源', '黄婧楠', '动作', '爱情', '奇幻', '冒险']",['孙丽'],"['韩青芸', '李雨壕', '梁家仁', '黄科源', '黄婧楠']","['动作', '爱情', '奇幻', '冒险']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2018-08-07(中国大陆)'],['又名: 郪遇记'],"
                            懵懂少年井唐与未婚妻子琴随哥哥井宋来到具有800多年历史的佑圣古观参加一年一度的庙会，偶遇少女小鲜和神秘人郪上，并被二人告知自己所处的世界只是一个用忆念术创造出来的幻象。伴随身边的许多人相继被杀，凶手直指郪上——一个通过忆念术杀人无数续命永生的大魔头。正当不解之时，自己的未婚妻又被一个自称是子琴丈夫的男人自愿带走，回到了现实世界。此后，井唐夹在井宋与郪上几百年的恩怨之中，身世之谜解开，井宋才是霍乱天下的邪灵。井唐用避尘珠亲手杀死了邪灵，可付出的代价竟然是小鲜的牺牲。为了不让邪灵重生，郪上粉碎了他关于小鲜的一切记忆。最后，井唐跟随郪上回到了现实世界，可这个世界就一定是真实的吗？井宋所做的一切真的是为了毁天灭地吗，也许只是为了心中所爱。",['ed2k://|file|避尘珠.1080p.HD国语中字[最新电影www.66e.cc].mkv|799961776|EB66B6C76104CAF0936AD850BA26C520|h=FDGWMXICLZCEMHNYXIQD4XNC4C77NE7O|/']
竞速传奇 ,"['卡赞·凯德', 'Gary Gerani', 'Craig R. Welch', '约翰·特拉沃尔塔', '罗莎贝尔·塞勒斯', '仙妮娅·唐恩', '巴里·柯宾', '迈克尔·马德森', '凯文·杜恩', '巴克·泰勒', '托比·塞巴斯蒂安', 'Audrey Elizabeth Fafard', 'Faith Bruner', '小路易斯·席尔瓦', '娇娅·利巴尔多尼', 'Denny Mendez', '动作', '运动']","['Gary Gerani', 'Craig R. Welch']","['约翰·特拉沃尔塔', '罗莎贝尔·塞勒斯', '仙妮娅·唐恩', '巴里·柯宾', '迈克尔·马德森', '凯文·杜恩', '巴克·泰勒', '托比·塞巴斯蒂安', 'Audrey Elizabeth Fafard', 'Faith Bruner', '小路易斯·席尔瓦', '娇娅·利巴尔多尼', 'Denny Mendez']","['动作', '运动']",['制片国家/地区: 西班牙 / 意大利 / 英国'],['语言: 英语'],['上映日期: 2019-02-22(美国)'],['又名: 竞速惊情'],"
                            约翰·特拉沃尔塔主演的[竞速惊情](Trading Paint，暂译)本周阿拉巴马开机拍摄。导演卡赞·卡德([小超人梦])，卡司包括托比·塞巴斯蒂安(《权力的游戏》)、迈克尔·马德森、乡村歌手仙妮娅·唐恩。特拉沃尔塔饰演一个一度辉煌、如今潦倒的传奇赛车手，故事围绕一场父子之间的赛车大战展开。","['ed2k://|file|竞速传奇.720p.BD中英双字[最新电影www.66e.cc].mkv|1118289298|F8911C5116E3EF1CF81945E4F32170DA|h=WBY6BGOCPFUZ27PPEC4AQEWTGQZ26ECI|/', 'ed2k://|file|竞速传奇 Trading Paint 1080pWEBHD中英双语字幕-艾森闹字幕组.mp4|963319417|90514a0ab7537ee1c0124fcca36565bb|h=jp6bcjr25rsg5jq5pzwqsf3ysgphvodl|/']"
宠物坟场 ,"['凯文·库尔施', '丹尼斯·维德迈尔', '斯蒂芬·金', '麦特‧格林伯格', '杰夫·布勒', '杰森·克拉克', '艾米·西米茨', '约翰·利思戈', '杰特·劳伦斯', '雨果·拉瓦', '卢卡斯·拉瓦', '奥布萨·艾哈迈德', '阿丽莎·布鲁克·莱文', '玛丽亚·埃雷拉', '弗兰克·萧宾', '琳达·E·史密斯', '索尼娅·玛丽亚·基里拉', '娜奥米·弗伦内特', '艾丽森·奥唐奈尔', '悬疑', '惊悚', '恐怖']","['斯蒂芬·金', '麦特‧格林伯格', '杰夫·布勒']","['杰森·克拉克', '艾米·西米茨', '约翰·利思戈', '杰特·劳伦斯', '雨果·拉瓦', '卢卡斯·拉瓦', '奥布萨·艾哈迈德', '阿丽莎·布鲁克·莱文', '玛丽亚·埃雷拉', '弗兰克·萧宾', '琳达·E·史密斯', '索尼娅·玛丽亚·基里拉', '娜奥米·弗伦内特', '艾丽森·奥唐奈尔']","['悬疑', '惊悚', '恐怖']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-03-17(西南偏南电影节) / 2019-04-05(美国)'],['又名: 诡墓(港) / 禁入坟场(台) / 宠物公墓 / 新宠物坟场'],"
                            自1989年的[宠物坟场]后，派拉蒙欲再次将史蒂芬·金的小说《宠物坟场》搬上大银幕。目前确定凯文·库尔施、丹尼斯·维德迈尔([闪亮的眼睛])执导该片。曾担任[康斯坦丁]、[变形金刚]制片人的洛伦佐·迪·博纳文图拉任影片制片人。小说故事围绕一家人和诡异的宠物坟场展开。","['ed2k://|file|宠物坟场.720p.BD中英双字[最新电影www.66e.cc].mkv|1293412057|D1AD8CFFE166A1BD993A3CD9D194676A|h=6EHIWYDAJMXTIL4WDBUUZT43ILMASXPH|/', 'http://bt.pp63.org/2019/宠物坟场.1080p.HD中字.torrent', 'ed2k://|file|宠物坟场.1080p.HD中字[最新电影www.66e.cc] .mp4|2118365634|E694E2A7931657F7386EA6A605FF206E|h=DORPPAOPFKBJMHYYQU2Q2LY3NSYTQCNI|/']"
疯魔鲁智深 ,"['王子', '王子', '晋松', '张姮儿', '李雅男', '辛新', '郑茜', '关美婷', '动作', '传记', '武侠', '古装']",['王子'],"['晋松', '张姮儿', '李雅男', '辛新', '郑茜', '关美婷']","['动作', '传记', '武侠', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2018-04-01(中国大陆)'],[],"
                            北宋年间，花和尚鲁智深三拳打死了镇关西，逃至五台山文殊院落发为僧。却因控制不住杀念，被长老安排至东京汴梁大相国寺潜心修道。在这途中，他屡见世间不平之事却难以出手，因内心的对过往杀孽的忏悔而深受煎熬。终于，在目睹了官贼相护残杀无辜的可怕恶行之后，怀着报仇之愤的他拾起禅杖陷入疯魔.......",['ed2k://|file|疯魔鲁智深.4K.HD国语中字[最新电影www.6vhao.tv].mp4|3275857651|A90D8380D7DEE2AC5CFFA0361D9C55E4|h=WWJQCVXGVJ4F7NFBQLCIJTYWTSGZPJNC|/']
疯魔鲁智深2 ,"['王厦', '王厦', '晋松', '谭旭', '叶新晨', '动作']",['王厦'],"['晋松', '谭旭', '叶新晨']",['动作'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-27(中国大陆)'],[],"
                            高衙内为得到林娘子设连环计陷害林冲，一面野猪林要杀林冲，一面又故意让林娘子得知消息支开鲁智深，可谓阴谋算尽。鲁智深本受林冲托付保护林娘子，林冲有难，只得想办法先救了林冲，再赶回来护着林娘子。可惜林冲对朝廷还抱有希望，执意去沧州受刑后重新做人，鲁智深无奈只得护送林冲到沧州。鲁智深送完林冲便马不停蹄赶回京城，哪知道高衙内早已布下重重机关，一方面试图阻止鲁智深回到京城，另一方面又对孤生一人的林娘子威逼利诱步步紧逼。鲁智深回途中遇到赏金杀手已然猜到高衙内的奸计。鲁智深一路赶回来，可谓是过五关斩六将，一路杀到京城，可惜还是来晚。林娘子为保贞洁自缢而死，鲁智深懊悔不已，为林娘子报仇雪恨之后，奔赴沧州而去。","['magnet:?xt=urn:btih:5UCJUBPWDBKA5I2QFKXIOQVD72AXZ2RX', 'ed2k://|file|智深传2.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1593966153|7FC2EFF6DE2DA0D0CD79954A4BCEE24A|h=ORDBRLOAX55NFVPMN62U7AIMOZHTDCLE|/']"
玩转全家福 ,"['丁仕昀', '李勇昌', '郑欣宜', '卢海鹏', '林晓峰', '林德信', '邵音音', '林明祯', '阿牛', '朱咪咪', '郑锦昌', '韓淑嫻', '何颖璇', '黄俊熙', '林冰冰', '韓依婷', '羅偉銅', '譚小虹', '喜剧']",['李勇昌'],"['郑欣宜', '卢海鹏', '林晓峰', '林德信', '邵音音', '林明祯', '阿牛', '朱咪咪', '郑锦昌', '韓淑嫻', '何颖璇', '黄俊熙', '林冰冰', '韓依婷', '羅偉銅', '譚小虹']",['喜剧'],['制片国家/地区: 香港 / 马来西亚'],['语言: 粤语 / 汉语普通话'],['上映日期: 2019-01-31(新加坡) / 2019-02-05(马来西亚) / 2019-02-21(香港)'],['又名: A Journey Of Happiness'],"
                            全家动员去旅行，点知成屋人都好鬼难搞！自从老婆一年前去世，萧发（卢海鹏 饰）一直郁郁寡欢，长子萧炳（林晓峰 饰）埋没良心做仆街经纪，细仔（林德信 饰）萧立成日扮嘢做型格KOL。萧家四分五裂，生活变成一滩死水。正值新春前夕，任识旅行社领队的二女萧心（郑欣宜 饰）决定发挥本领，组织一场欢乐云海团！途中遇上奸诈「佛系」导游崔风（阿牛 饰）、女背包客南瓜BB（林明祯 饰）、民宿老板娘Orchid（邵音音 饰），大家一路上灾难不断，途中又惊又喜，玩足全程！到底萧家能否一团和气，成功到达目的地呢？云海之旅正式开始！","['magnet:?xt=urn:btih:WERATWQANA4LMZUJA6HHF4N52TPRSOBK', 'http://bt.pp63.org/2019/玩转全家福.720p.国粤双语.BD中字.torrent', 'ed2k://|file|玩转全家福.720p.国粤双语.BD中字[最新电影www.66e.cc].mp4|1275052781|FDAC62AE762F353F7E84F850085EF3D6|h=DKZORAGHUFUKHCWS6TDLJKKIJ7GSFOW5|/']"
潜行者 ,"['吕冠南', '谭广源', '吕冠南', '谭广源', '伍允龙', '吴建豪', '安志杰', '谢霆锋', '冯文娟', '蒋璐霞', '赵慧珊', '迟帅', '孟佳', '伦阿兹', '吴家丽', '邵音音', '林雪', '喜剧', '动作', '爱情', '犯罪']","['吕冠南', '谭广源']","['伍允龙', '吴建豪', '安志杰', '谢霆锋', '冯文娟', '蒋璐霞', '赵慧珊', '迟帅', '孟佳', '伦阿兹', '吴家丽', '邵音音', '林雪']","['喜剧', '动作', '爱情', '犯罪']",['制片国家/地区: 中国大陆 / 香港'],['语言: 汉语普通话 / 粤语'],['上映日期: 2019-06-28(中国大陆)'],['又名: 卧虎潜龙 / 潜龙狙击 / Undercover vs Undercover / Undercover Punch and Gun'],"
                            故事开始于卧底警察潜伏黑帮，意外的坐上了黑帮老大的位置，不料被大毒枭设计一步步拖入公海的魔鬼运输船；恰逢此时，一支神秘的第三方部队正在展开他们的复仇之路，命运的纠葛从此开始。在三方力量的角逐中，激烈的搏斗、刀战、枪战、狙击战、遥控炸弹，层层升级步步惊心。在法与情，爱与恨，兄弟和女人之间，有些事情总要有人去做。","['magnet:?xt=urn:btih:U7UYOWSG37GLIMLTM6HCIMXP5ZGEUH5N', 'ed2k://|file|潜行者.1080p.国粤双语.HD中字[最新电影www.66e.cc].mp4|1686427324|2721F718ACF73FC2A8CA434537E1C36F|h=66P3A2SMVFWTOIFKKHISWD5ZPN6LPXNE|/']"
反贪风暴4 ,"['林德禄', '黄浩华', '何文龙', '古天乐', '郑嘉颖', '林峯', '林家栋', '周秀娜', '张智霖', '谭耀文', '张继聪', '蔡瀚亿', '廖启智', '艾威', '卢海鹏', '夏嫣', '黄致豪', '张松枝', '张建声', '栢天男', '丁海峰', '刘梦娜', '陈静', '朱鉴然', '灰熊', '石修', '陈曼娜', '关礼杰', '薛世恒', '动作', '犯罪']","['黄浩华', '何文龙']","['古天乐', '郑嘉颖', '林峯', '林家栋', '周秀娜', '张智霖', '谭耀文', '张继聪', '蔡瀚亿', '廖启智', '艾威', '卢海鹏', '夏嫣', '黄致豪', '张松枝', '张建声', '栢天男', '丁海峰', '刘梦娜', '陈静', '朱鉴然', '灰熊', '石修', '陈曼娜', '关礼杰', '薛世恒']","['动作', '犯罪']",['制片国家/地区: 香港 / 中国大陆'],['语言: 粤语 / 汉语普通话'],['上映日期: 2019-04-04(中国大陆)'],['又名: P Storm'],"
                            廉政公署收到报案人廖雨萍（周秀娜饰）的实名举报，举报正在坐牢的富二代曹元元（林峯饰）涉嫌行贿监狱里的监督沈济全（谭耀文饰）以及惩教员，首席调查主任陆志廉（古天乐饰）决定深入虎穴，卧底狱中。在监狱里，被陆志廉送入监狱的前警司黄文彬（林家栋饰）以及曹元元两大帮派势成水火，陆志廉趁机接近曹元元取得信任。同时监狱外的廉政公署总调查主任程德明（郑嘉颖饰）、国内反贪局行动处处长洪亮（丁海峰饰）也陆港联手，通力合作，最终成功破获贪腐行贿大案。","['ed2k://|file|反贪风暴4.1080p.国粤双语.BD中字[最新电影www.66e.cc].mp4|2637428688|09149D32FF6D73C13CF933A570F71FAA|h=SICBWPUDUG62NJNHNMUBCKETUGL5DL4I|/', 'ed2k://|file|反贪风暴4.720p.国粤双语.BD中字[最新电影www.66e.cc].mp4|1237583783|8B806A3B3F3911FCA3F9C4D2582531DE|h=XV2YK3U62ESN7BANQJ45HK5ZSZTE4SIV|/', 'magnet:?xt=urn:btih:QRZIGBUIFQU7IZRV5OZ6OJ22634LO6QS', 'magnet:?xt=urn:btih:4AR3EMFZLDL6NCO34IEK7G2SFQXHPYXZ', 'ed2k://|file|反贪风暴4.1080p.国粤双语.HD中字[最新电影www.66e.cc].mp4|1732403374|C10F2AEDD3A8BFF2278460C18B52DC52|h=OWXYO3AVRECTPVZHS3ITYNNFMT53CV2K|/']"
狼之歌 ,"['阿贝尔·安扎克', 'Antonin Baudry', '弗朗索瓦·西维尔', '奥玛·希', '马修·卡索维茨', '勒达·卡代布', '葆拉·贝尔', '科幻', '惊悚', '灾难']",['Antonin Baudry'],"['弗朗索瓦·西维尔', '奥玛·希', '马修·卡索维茨', '勒达·卡代布', '葆拉·贝尔']","['科幻', '惊悚', '灾难']",['制片国家/地区: 法国'],['语言: 法语'],['上映日期: 2019-02-20(法国)'],"[""又名: The Song of the Wolf / The Wolf's Call""]","
                            阿贝尔·安扎克([外交风云])执导长片处女作[狼之歌](The Song of the Wolf,暂译)更新演员列表，弗朗索瓦·西维尔、奥玛·希、马修·卡索维茨、勒达·卡代布、葆拉·贝尔等悉数加盟。影片即将展开全面拍摄，预计10月20日杀青。","['magnet:?xt=urn:btih:RXVQJBGXQHDLNFOUTIKHEK5ESP5AMS7H', 'ed2k://|file|狼之歌.1080p.BD中字[66影视www.66ys.co].mp4|3103458485|3C15773D6DC9EA0E4D302A06347A7393|h=RKCZKN5MUMN36TOIAZ6ZWF3XAMI7GV3Z|/', 'ed2k://|file|狼之歌.720p.BD中字[66影视www.66ys.co].mp4|1354464018|37A739BF34276782AD9959457CC2CB3B|h=M7CYVALBW5WFMQWCRIYH6LJY26GOYU2W|/']"
夏福特 ,"['蒂姆·斯托瑞', '肯尼亚·巴里斯', '亚历克斯·巴诺', '欧内斯特·泰迪曼', '塞缪尔·杰克逊', '杰西·厄舍', '理查德·朗德特里', '雷吉娜·赫尔', '亚历山德拉·希普', '马特·劳里亚', '提图斯·维里沃', '马索·曼恩', '伊萨赫·德·班克尔', '阿万·乔贾', '劳伦·维勒斯', '伊恩·卡塞尔伯里', '西尔维娅·杰弗里斯', '迈克·顿斯顿', '查尔斯·格林', '艾德丽安·C·摩尔', '乔恩·亚瑟', '肖恩·贝克', '蒂莫西·卡尔', '大卫·邓斯顿', '何塞·阿尔弗雷多·费尔南德斯', '安东尼·B·哈里斯', '德梅特里·兰德尔', '汉斯·马雷罗', '布赖希亚·马歇尔', '肖恩·麦克米伦', '本杰明·韦弗', '动作', '犯罪']","['肯尼亚·巴里斯', '亚历克斯·巴诺', '欧内斯特·泰迪曼']","['塞缪尔·杰克逊', '杰西·厄舍', '理查德·朗德特里', '雷吉娜·赫尔', '亚历山德拉·希普', '马特·劳里亚', '提图斯·维里沃', '马索·曼恩', '伊萨赫·德·班克尔', '阿万·乔贾', '劳伦·维勒斯', '伊恩·卡塞尔伯里', '西尔维娅·杰弗里斯', '迈克·顿斯顿', '查尔斯·格林', '艾德丽安·C·摩尔', '乔恩·亚瑟', '肖恩·贝克', '蒂莫西·卡尔', '大卫·邓斯顿', '何塞·阿尔弗雷多·费尔南德斯', '安东尼·B·哈里斯', '德梅特里·兰德尔', '汉斯·马雷罗', '布赖希亚·马歇尔', '肖恩·麦克米伦', '本杰明·韦弗']","['动作', '犯罪']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-06-14(美国)'],['又名: 杀戮战警2 / 铁杆神探2 / 夏福特之子 / Shaft 2 / Son of Shaft'],"
                            杰西·厄舍加盟[杀戮战警]续作[夏福特之子](Son of Shaft，暂译)，塞缪尔·杰克逊同时回归。本片由蒂姆·斯托瑞([佐州自救兄弟])执导，肯尼亚·巴里斯编剧。厄舍扮演杰克逊的儿子，他同时也是一名联邦调查局工作人员，更是网络专家。","['magnet:?xt=urn:btih:7ZK2GULBBMSJZ3YD5RYEERLYQC6QFWAV', 'http://bt.pp63.org/2019/夏福特.1080p.BD中英双字.torrent', 'ed2k://|file|夏福特.1080p.BD中英双字[最新电影www.66e.cc].mp4|2697202686|29DAA9E974F4C543FF252C2EBC3E088C|h=KK24WC2YGF6FFMW53UA374QCPHRKVHOT|/']"
完美家庭 ,"['加布里埃莱·穆奇诺', '加布里埃莱·穆奇诺', '保罗·科斯特拉', '萨布里娜·因帕恰托雷', '斯蒂芬努·阿科西', '卡罗利娜·克雷申蒂尼', '埃琳娜·库奇', '皮耶尔弗兰切斯科·法维诺', '克劳迪亚·杰里尼', '马西莫·吉尼', '萨布里娜·因帕恰托雷', '桑德拉·米洛', '斯特法尼娅·桑德雷利', '瓦莱丽亚·索拉里诺', '吉安马可·托格纳奇', '蒂亚·法蔻', '剧情', '喜剧', '爱情']","['加布里埃莱·穆奇诺', '保罗·科斯特拉', '萨布里娜·因帕恰托雷']","['斯蒂芬努·阿科西', '卡罗利娜·克雷申蒂尼', '埃琳娜·库奇', '皮耶尔弗兰切斯科·法维诺', '克劳迪亚·杰里尼', '马西莫·吉尼', '萨布里娜·因帕恰托雷', '桑德拉·米洛', '斯特法尼娅·桑德雷利', '瓦莱丽亚·索拉里诺', '吉安马可·托格纳奇', '蒂亚·法蔻']","['剧情', '喜剧', '爱情']",['制片国家/地区: 意大利'],['语言: 意大利语'],['上映日期: 2018-02-14(意大利)'],['又名: 在家千日好 / There Is No Place Like Home'],"
                            ","['magnet:?xt=urn:btih:5QSRZPDBPERSN5VWZQRE4O4UXLZEALIY', 'http://bt.pp63.org/2019/完美家庭.720p.BD中字.torrent', 'ed2k://|file|完美家庭.720p.BD中字[最新电影www.66e.cc].mp4|1479741567|C4B90A7D431D6752EA5374C16DCF570C|h=J44P2LL4NPFBUIJS2UTCMLZXHWHZEXRF|/']"
绣春伏魔传之血战富士山 ,"['梁伟', '梁伟', '瞿澳晖', '王泊淞', '剧情', '喜剧']",['梁伟'],"['瞿澳晖', '王泊淞']","['剧情', '喜剧']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-27(中国大陆)'],[],"
                            公元16世纪末，明朝锦衣卫陈九与丁一来到日本与敌人周旋。不料中敌人算计丢失国书，与公主走散。小夜子为了救险些被侮辱的公主被秀次俘获，公主感念小夜子恩德，要求陈九丁一营救小夜子，然而两人产生分歧，但情义战胜私欲，二人来到刑场救下小夜子。陈九不幸中了秀次的毒针。老尼姑半路杀出为救三人身死。松本秀吉大肆屠村，抓住公主要挟陈九丁一。为了救出公主和给村民报仇，陈九与小夜子带村民正面攻打伏见城，丁一则从太阁府救出公主。不料秀次追来，丁一中箭，沈维举为救二人点燃子母雷。陈九与小夜子重伤秀吉，大获全胜。不料日本国宝和氏璧消失，秀吉派兵追杀陈九三人，而三人已踏准备的归国航船。众人又将迎来一场血雨腥风……","['ed2k://|file|绣春伏魔传之血战富士山.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1688604982|E1DD07E9DFCD8EDDB5727B5F94D2EC7E|h=5P4FW2Y4T5ZHGY3BIMT2PHNR6PWDKO4M|/', 'magnet:?xt=urn:btih:GXYBR3CXXQG5KPDKKQCFGF6IU3IOY5ZV']"
绣春伏魔传之大闹扶桑国 ,"['梁伟', '梁伟', '瞿澳晖', '尚亚妮', '剧情', '喜剧']",['梁伟'],"['瞿澳晖', '尚亚妮']","['剧情', '喜剧']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-07-25(中国大陆)'],[],"
                            公元十六世纪末，日本悍然攻打朝鲜，很快，在明朝军队的介入下日本撤军。按和谈之约，锦衣卫护送明朝使团前往日本伏见城宣读国书，不料国书被人盗走，使团众人被杀，随团同行的公主又被日本人囚禁，锦衣卫陈九、丁一在侠盗石川小夜子的帮助下侥幸逃脱，两人对是去还是留产生分歧不欢而散，陈九独闯太阁府告诉了松本秀次国书被偷真相，但却被丁一私自偷国书的行为破坏，松本秀次严刑拷打陈九，丁一得意之际摔下山崖被石川小夜子的师傅所救，丁一康复后和小夜子下山寻找陈九，不料松本秀次的对头伊藤家康逼上门来，三人合力战胜伊藤，几日后，陈九丁一抛弃前嫌决定深入虎穴，一番混战后最终救出了公主，惜别石川小夜子，途经富士山踏上回国之路",[]
夏目友人帐 ,"['大森贵弘', '伊藤秀树', '绿川幸', '村井贞之', '神谷浩史', '井上和彦', '高良健吾', '小林沙苗', '泽城美雪', '石田彰', '藤村步', '村濑步', '伊藤美纪', '伊藤荣次', '堀江一真', '佐藤利奈', '木村良平', '菅沼久义', '雪野五月', '川澄绫子', '樋口晓里', '冈村明美', '黑田崇矢', '长岛雄一', '松山鹰志', '下崎纮史', '知桐京子', '岛本须美', '剧情', '动画', '奇幻']","['绿川幸', '村井贞之']","['神谷浩史', '井上和彦', '高良健吾', '小林沙苗', '泽城美雪', '石田彰', '藤村步', '村濑步', '伊藤美纪', '伊藤荣次', '堀江一真', '佐藤利奈', '木村良平', '菅沼久义', '雪野五月', '川澄绫子', '樋口晓里', '冈村明美', '黑田崇矢', '长岛雄一', '松山鹰志', '下崎纮史', '知桐京子', '岛本须美']","['剧情', '动画', '奇幻']",['官方网站: natsume-movie.com'],['制片国家/地区: 日本'],['语言: 日语'],['片长: 104分钟'],"
                            在人与妖怪之间过着忙碌日子的夏目，偶然与以前的同学结城重逢，由此回忆起了被妖怪缠身的苦涩记忆。此时，夏目认识了在归还名字的妖怪记忆中出现的女性·津村容莉枝。和玲子相识的她，现在和独子椋雄一同过着平稳的生活。夏目通过与他们的交流，心境也变得平和。但这对母子居住的城镇，却似乎潜伏着神秘的妖怪。在调查此事归来后，寄生于猫咪老师身体的“妖之种”，在藤原家的庭院中，一夜之间就长成树结出果实。而吃掉了与自己形状相似果实的猫咪老师，竟然分裂成了3个——！？","['magnet:?xt=urn:btih:QOXYMH6HXZQN36PQJQBEDBOCZR6BH74J', 'http://bt.pp63.org/2019/夏目友人帐.1080p.国日双语.HD中字无水印.torrent']"
